date,day,meal_type,menu_items,total_strength,actual_attendance
2023-05-22,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,9208
2023-05-22,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,12125
2023-05-22,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7423
2023-05-22,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,9257
2023-05-23,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,8622
2023-05-23,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,10084
2023-05-23,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,7803
2023-05-23,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,11552
2023-05-24,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,11029
2023-05-24,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13027
2023-05-24,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,7255
2023-05-24,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,11988
2023-05-25,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6993
2023-05-25,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13888
2023-05-25,Thursday,Snack,"Veg Maggi, Frooti",14172,8023
2023-05-25,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,11878
2023-05-26,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,8817
2023-05-26,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,13012
2023-05-26,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,6698
2023-05-26,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,7940
2023-05-27,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,10374
2023-05-27,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,6510
2023-05-27,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,5928
2023-05-27,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,10761
2023-05-28,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,11186
2023-05-28,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,12941
2023-05-28,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,7419
2023-05-28,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13497
2023-05-29,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,11221
2023-05-29,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,11998
2023-05-29,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,8008
2023-05-29,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,9505
2023-05-30,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,8779
2023-05-30,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,9378
2023-05-30,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,8442
2023-05-30,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,11217
2023-05-31,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,9522
2023-05-31,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-05-31,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,7654
2023-05-31,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,13436
2023-06-01,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6251
2023-06-01,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13888
2023-06-01,Thursday,Snack,"Veg Maggi, Frooti",14172,8536
2023-06-01,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,12828
2023-06-02,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,9617
2023-06-02,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,13888
2023-06-02,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,6942
2023-06-02,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,8589
2023-06-03,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,10483
2023-06-03,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,6404
2023-06-03,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,5371
2023-06-03,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,12008
2023-06-04,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,9591
2023-06-04,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,12293
2023-06-04,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,7423
2023-06-04,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13888
2023-06-05,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,10052
2023-06-05,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,11103
2023-06-05,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7317
2023-06-05,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,9536
2023-06-06,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,9572
2023-06-06,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,9960
2023-06-06,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,7691
2023-06-06,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,11322
2023-06-07,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,10671
2023-06-07,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-06-07,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,6486
2023-06-07,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,12740
2023-06-08,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6170
2023-06-08,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,12734
2023-06-08,Thursday,Snack,"Veg Maggi, Frooti",14172,7501
2023-06-08,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,11850
2023-06-09,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,9348
2023-06-09,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,12081
2023-06-09,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,7090
2023-06-09,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,8055
2023-06-10,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,9727
2023-06-10,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,6908
2023-06-10,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,5473
2023-06-10,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,11222
2023-06-11,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,11291
2023-06-11,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,13434
2023-06-11,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,7189
2023-06-11,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13888
2023-06-12,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,10299
2023-06-12,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,11587
2023-06-12,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7968
2023-06-12,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,10221
2023-06-13,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,8435
2023-06-13,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,10377
2023-06-13,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,7482
2023-06-13,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,10765
2023-06-14,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,9642
2023-06-14,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-06-14,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,6829
2023-06-14,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,13075
2023-06-15,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6622
2023-06-15,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13718
2023-06-15,Thursday,Snack,"Veg Maggi, Frooti",14172,7494
2023-06-15,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,11629
2023-06-16,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,9264
2023-06-16,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,12555
2023-06-16,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,8057
2023-06-16,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,8054
2023-06-17,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,11215
2023-06-17,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,7410
2023-06-17,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,5203
2023-06-17,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,11302
2023-06-18,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,9663
2023-06-18,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,13732
2023-06-18,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,6681
2023-06-18,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13050
2023-06-19,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,9367
2023-06-19,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,11893
2023-06-19,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,8009
2023-06-19,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,9247
2023-06-20,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,8830
2023-06-20,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,10064
2023-06-20,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,7963
2023-06-20,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,11770
2023-06-21,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,10870
2023-06-21,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-06-21,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,6996
2023-06-21,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,13640
2023-06-22,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6373
2023-06-22,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13888
2023-06-22,Thursday,Snack,"Veg Maggi, Frooti",14172,7552
2023-06-22,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,12525
2023-06-23,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,9119
2023-06-23,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,12747
2023-06-23,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,7112
2023-06-23,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,8599
2023-06-24,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,10961
2023-06-24,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,7031
2023-06-24,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,5975
2023-06-24,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,11918
2023-06-25,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,10090
2023-06-25,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,11894
2023-06-25,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,6689
2023-06-25,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13888
2023-06-26,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,11060
2023-06-26,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,11512
2023-06-26,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,8753
2023-06-26,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,9696
2023-06-27,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,8908
2023-06-27,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,10185
2023-06-27,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,9011
2023-06-27,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,11874
2023-06-28,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,10158
2023-06-28,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13258
2023-06-28,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,6492
2023-06-28,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,11934
2023-06-29,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,7225
2023-06-29,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13888
2023-06-29,Thursday,Snack,"Veg Maggi, Frooti",14172,7291
2023-06-29,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,10891
2023-06-30,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,8864
2023-06-30,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,13888
2023-06-30,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,6705
2023-06-30,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,7604
2023-07-01,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,10334
2023-07-01,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,7374
2023-07-01,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,5437
2023-07-01,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,11058
2023-07-02,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,11466
2023-07-02,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,11777
2023-07-02,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,7625
2023-07-02,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13143
2023-07-03,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,10662
2023-07-03,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,11985
2023-07-03,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7778
2023-07-03,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,9608
2023-07-04,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,9430
2023-07-04,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,8809
2023-07-04,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,9105
2023-07-04,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,11649
2023-07-05,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,10674
2023-07-05,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-07-05,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,7082
2023-07-05,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,12830
2023-07-06,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6402
2023-07-06,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13888
2023-07-06,Thursday,Snack,"Veg Maggi, Frooti",14172,8370
2023-07-06,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,12178
2023-07-07,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,8728
2023-07-07,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,12489
2023-07-07,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,7236
2023-07-07,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,8976
2023-07-08,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,9263
2023-07-08,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,6712
2023-07-08,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,6167
2023-07-08,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,10911
2023-07-09,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,9922
2023-07-09,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,13546
2023-07-09,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,6888
2023-07-09,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13888
2023-07-10,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,9610
2023-07-10,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,12520
2023-07-10,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7196
2023-07-10,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,9024
2023-07-11,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,8133
2023-07-11,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,9021
2023-07-11,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,8817
2023-07-11,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,11348
2023-07-12,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,9915
2023-07-12,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,12926
2023-07-12,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,7328
2023-07-12,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,13076
2023-07-13,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,7360
2023-07-13,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13888
2023-07-13,Thursday,Snack,"Veg Maggi, Frooti",14172,8182
2023-07-13,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,10890
2023-07-14,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,9355
2023-07-14,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,12537
2023-07-14,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,7675
2023-07-14,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,7995
2023-07-15,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,9334
2023-07-15,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,6934
2023-07-15,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,6093
2023-07-15,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,11539
2023-07-16,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,10034
2023-07-16,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,12653
2023-07-16,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,8008
2023-07-16,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13754
2023-07-17,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,9700
2023-07-17,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,12836
2023-07-17,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,8158
2023-07-17,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,8731
2023-07-18,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,8161
2023-07-18,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,9037
2023-07-18,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,7807
2023-07-18,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,10201
2023-07-19,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,11155
2023-07-19,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13347
2023-07-19,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,7607
2023-07-19,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,13565
2023-07-20,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,6820
2023-07-20,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13888
2023-07-20,Thursday,Snack,"Veg Maggi, Frooti",14172,7825
2023-07-20,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,11839
2023-07-21,Friday,Breakfast,"Indori Poha, Green Chutney, Egg Bhurji, Mix Fruits",14172,9371
2023-07-21,Friday,Lunch,"Paneer Lababdar, Jeera Rice, Sambar, Roti, Curd",14172,13888
2023-07-21,Friday,Snack,"Aloo papdi chaat, Sweet & Green Chutney, Tea",14172,7599
2023-07-21,Friday,Dinner,"Aloo Capsicum, Baingan Bharta, Hariyali Dal, Rice, Fruit Custard",14172,9244
2023-07-22,Saturday,Breakfast,"Masala Dosa, Sambar, Red Chutney, Upma",14172,10817
2023-07-22,Saturday,Lunch,"Dal Khichdi, Aloo Chokha, Curd, Papad",14172,7543
2023-07-22,Saturday,Snack,"Bhel Puri, Sev, Nimbu Pani",14172,5478
2023-07-22,Saturday,Dinner,"Mutter Paneer, Dal Fry, Jeera Rice, Rasgulla",14172,11331
2023-07-23,Sunday,Breakfast,"Chole Kulche, Boondi Raita, Sweet Lassi",14172,10132
2023-07-23,Sunday,Lunch,"Veg Pulao, Paneer Butter Masala, Pineapple Raita",14172,12380
2023-07-23,Sunday,Snack,"Veg Grilled Sandwich, Potato Chips, Cold Drink",14172,7559
2023-07-23,Sunday,Dinner,"SPECIAL THALI: Paneer, Dal Makhani, Naan, Rice, Sweet",14172,13888
2023-07-24,Monday,Breakfast,"Aloo Paratha, Curd, Pickle, Sweet Corn, Tea",14172,10766
2023-07-24,Monday,Lunch,"Rajma Masala, Jeera Rice, Aloo Gobhi, Roti, Boondi Raita",14172,12572
2023-07-24,Monday,Snack,"Samosa, Imli Chutney, Tea, Biscuits",14172,7758
2023-07-24,Monday,Dinner,"Mix Veg, Dal Tadka, Rice, Roti, Gulab Jamun",14172,8736
2023-07-25,Tuesday,Breakfast,"Idli, Sambar, Coconut Chutney, Vada, Fruits",14172,8075
2023-07-25,Tuesday,Lunch,"Kadi Pakoda, Steamed Rice, Bhindi Masala, Roti",14172,8981
2023-07-25,Tuesday,Snack,"Red Sauce Pasta, Cold Coffee",14172,8810
2023-07-25,Tuesday,Dinner,"Egg Curry, Aloo Matar, Rice, Sewaiyan",14172,10918
2023-07-26,Wednesday,Breakfast,"Puri Bhaji, Sooji Halwa, Chana Masala",14172,10836
2023-07-26,Wednesday,Lunch,"Chole Bhature, Sweet Lassi, Onion Salad",14172,13888
2023-07-26,Wednesday,Snack,"Bread Pakoda, Ketchup, Tea",14172,6615
2023-07-26,Wednesday,Dinner,"Veg Biryani, Mirchi Ka Salan, Mix Raita, Moong Dal Halwa",14172,13325
2023-07-27,Thursday,Breakfast,"Veg Upma, Coconut Chutney, Boiled Egg, Toast",14172,7211
2023-07-27,Thursday,Lunch,"Dal Makhani, Butter Naan, Paneer Tikka, Jeera Rice",14172,13632
2023-07-27,Thursday,Snack,"Veg Maggi, Frooti",14172,7185
2023-07-27,Thursday,Dinner,"Malai Kofta, Yellow Dal, Rice, Paratha, Ice Cream",14172,10967
